City,State,Number of Restaurants
Fairbanks,AK,1
Phoenix,AZ,1
Chandler,AZ,1
Hammonton,Blue Anchor,1
Los Angeles,Brentwood,1
San Jose,CA,1
Menifee,CA,1
Tracy,CA,1
Hermosa Beach,CA,1
Santa Cruz,CA,1
Laguna Niguel,CA,1
Sacramento,CA,1
San Diego,CA,1
Alameda,CA,1
Fresno,CA,1
Irvine,CA,1
Littleton,CO,1
Arvada,CO,2
Denver,CO,2
Fairfield,CT,1
Shelton,CT,1
Spokane,City Of Spokane Valley,1
Endicott,Crestview Heights,1
Washington,DC,1
Wilmington,DE,1
Newark,DE,1
Middle Village,Elmhurst,1
Gainesville,FL,1
Maitland,FL,1
Loveland,Fairmont,4
Cincinnati,Fairmont,4
Chicago,Forest View,1
Americus,GA,1
Bloomfield,Grove,1
Osseo,Hassan,1
Sioux City,IA,1
Addison,IL,1
Urbana,IL,1
Chatham,IL,1
Berwyn,IL,1
Homer Glen,IL,1
Indianapolis,IN,1
Lafayette,IN,1
Bloomington,IN,1
Kirkland,Juanita,1
Olathe,KS,1
Wichita,KS,2
Kirkland,Kingsgate,1
Harvey,LA,1
New Orleans,LA,1
Broussard,LA,1
Lawrence Township,Lawrenceville,1
Hickory,Longview,1
Los Angeles,Los Feliz,1
Hyannis,MA,1
Sturbridge,MA,1
Newton Highlands,MA,1
Brookline,MA,1
Burlington,MA,1
Danvers,MA,2
Cockeysville,MD,1
Essex,MD,1
Westminster,MD,2
Kennebunk,ME,1
Redford,MI,1
White Lake,MI,1
Bronson,MI,1
Southgate,MI,1
Wyoming,MI,1
Minneapolis,MN,1
Arnold,MO,1
Saint Louis,MO,1
Hernando,MS,1
Southaven,MS,1
New York,Manhattan,3
Columbus,Marble Cliff,1
Kernersville,Matthewstown,1
Newark,Midtown,1
Mount Laurel,Mount Laurel Township,1
Pine Plains,Mount Ross,1
Memphis,Mphs,1
Loveland,Murdock,4
Cincinnati,Murdock,4
Omaha,NE,1
Saddle Brook,NJ,1
Piscataway,NJ,1
Denville,NJ,1
Englishtown,NJ,1
Clark,NJ,1
Henderson,NV,1
Las Vegas,NV,1
Staten Island,NY,1
Massapequa Park,NY,1
Buffalo,NY,1
White Plains,NY,2
New York,New York City,1
Providence,No Providence,1
New York,Nyc,2
Findlay,OH,1
Newark,OH,1
Mount Vernon,OH,1
Baltimore,OH,1
Bend,OR,1
Winston Salem,Oldtown,1
Chicago,Ontario Street,1
West Chester,PA,1
Luzerne,PA,1
King Of Prussia,PA,1
Bethlehem,PA,1
Philadelphia,PA,2
Erie,PA,2
Philadelphia,Phila,1
Pittsburgh,Pitt,1
Flushing,Queens,1
Astoria,Queens,1
Bothell,Queensgate,1
Quincy,Quincy Center,1
Moses Lake,Raugust,1
Connellsville,S Connelsvl,1
Pickens,SC,1
Saint Albans,St Albans,1
Madison,TN,1
Houston,TX,1
Spring,TX,1
Grand Prairie,TX,1
Pasadena,TX,1
Southlake,TX,1
College Station,TX,1
Cedar Park,TX,1
Mesquite,TX,1
Keller,TX,1
Wellington,TX,4
Austin,TX,5
Provo,UT,1
Hoboken,Uptown,1
Suffolk,VA,1
Wellington,Village Of Wellington,4
Austin,Village Of Wellington,4
Kent,WA,1
Langley,WA,1
Seattle,WA,2
Wausau,WI,1
Barboursville,WV,1
Laconia,Weirs Beach,1
